ensembl_gene_id,gene_symbol,chromosome,start,end,strand,biotype,description
ENSG00000210049,MT-TF,MT,577,647,1,Mt_tRNA,mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]
ENSG00000211459,MT-RNR1,MT,648,1601,1,Mt_rRNA,mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]
ENSG00000210077,MT-TV,MT,1602,1670,1,Mt_tRNA,mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]
ENSG00000210082,MT-RNR2,MT,1671,3229,1,Mt_rRNA,mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]
ENSG00000209082,MT-TL1,MT,3230,3304,1,Mt_tRNA,mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]
ENSG00000198888,MT-ND1,MT,3307,4262,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]
ENSG00000210100,MT-TI,MT,4263,4331,1,Mt_tRNA,mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]
ENSG00000210107,MT-TQ,MT,4329,4400,-1,Mt_tRNA,mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]
ENSG00000210112,MT-TM,MT,4402,4469,1,Mt_tRNA,mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]
ENSG00000198763,MT-ND2,MT,4470,5511,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]
ENSG00000210117,MT-TW,MT,5512,5579,1,Mt_tRNA,mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]
ENSG00000210127,MT-TA,MT,5587,5655,-1,Mt_tRNA,mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]
ENSG00000210135,MT-TN,MT,5657,5729,-1,Mt_tRNA,mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]
ENSG00000210140,MT-TC,MT,5761,5826,-1,Mt_tRNA,mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]
ENSG00000210144,MT-TY,MT,5826,5891,-1,Mt_tRNA,mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]
ENSG00000198804,MT-CO1,MT,5904,7445,1,protein_coding,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
ENSG00000210151,MT-TS1,MT,7446,7514,-1,Mt_tRNA,mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]
ENSG00000210154,MT-TD,MT,7518,7585,1,Mt_tRNA,mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]
ENSG00000198712,MT-CO2,MT,7586,8269,1,protein_coding,mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]
ENSG00000210156,MT-TK,MT,8295,8364,1,Mt_tRNA,mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]
ENSG00000228253,MT-ATP8,MT,8366,8572,1,protein_coding,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]
ENSG00000198899,MT-ATP6,MT,8527,9207,1,protein_coding,mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]
ENSG00000198938,MT-CO3,MT,9207,9990,1,protein_coding,mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]
ENSG00000210164,MT-TG,MT,9991,10058,1,Mt_tRNA,mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]
ENSG00000198840,MT-ND3,MT,10059,10404,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]
ENSG00000210174,MT-TR,MT,10405,10469,1,Mt_tRNA,mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]
ENSG00000212907,MT-ND4L,MT,10470,10766,1,protein_coding,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]
